 Diffraction intensities for potential:3x3MoS210001.in                         
#    -27     7       2.7608156453E-005
#    -27     8       4.3575590381E-005
#    -27     9       1.1576389759E-004
#    -27    10       8.8090235462E-005
#    -26     3       2.8611197175E-005
#    -26     4       4.8900657791E-005
#    -26     5       4.9064010897E-005
#    -26     6       9.9804745657E-005
#    -26     7       1.2265565381E-004
#    -26     8       1.4394112822E-004
#    -26     9       1.5459188415E-004
#    -26    10       1.7033425530E-004
#    -26    11       2.2529442639E-004
#    -26    12       1.0343750591E-004
#    -26    13       3.5111860696E-005
#    -25     1       6.1584959466E-005
#    -25     2       5.8847618976E-005
#    -25     3       9.3200055637E-005
#    -25     4       1.3192957607E-004
#    -25     5       1.0845964368E-004
#    -25     6       2.0264413026E-004
#    -25     7       2.1444533583E-004
#    -25     8       2.7191354702E-004
#    -25     9       2.2448039654E-004
#    -25    10       2.6210564142E-004
#    -25    11       3.4511130307E-004
#    -25    12       1.0303561889E-004
#    -25    13       1.2080182417E-004
#    -25    14       1.3514976251E-004
#    -24    -1       6.1589316667E-005
#    -24     0       9.7959034471E-005
#    -24     1       6.5443535498E-005
#    -24     2       9.4468199539E-005
#    -24     3       1.1695417157E-004
#    -24     4       8.2888542193E-005
#    -24     5       1.4200054483E-004
#    -24     6       3.0545268620E-004
#    -24     7       2.4285662750E-004
#    -24     8       2.2669896455E-004
#    -24     9       2.6995003853E-004
#    -24    10       3.4676601230E-004
#    -24    11       5.3013748345E-004
#    -24    12       2.2595919866E-004
#    -24    13       1.8366375726E-004
#    -24    14       9.9007224090E-005
#    -24    15       3.3762099999E-005
#    -23    -3       2.8613002968E-005
#    -23    -2       5.8855050849E-005
#    -23    -1       6.5442688759E-005
#    -23     0       7.2551642298E-005
#    -23     1       7.9473288604E-005
#    -23     2       7.9382220644E-005
#    -23     3       1.1270668147E-004
#    -23     4       1.4729064130E-004
#    -23     5       1.8388543969E-004
#    -23     6       2.7497477605E-004
#    -23     7       3.0522346766E-004
#    -23     8       3.7972048812E-004
#    -23     9       3.6268001448E-004
#    -23    10       4.0655508754E-004
#    -23    11       3.9024537344E-004
#    -23    12       3.8540177268E-004
#    -23    13       3.3507612187E-004
#    -23    14       2.9210388688E-004
#    -23    15       2.1793160835E-004
#    -22    -4       4.8904747323E-005
#    -22    -3       9.3203531970E-005
#    -22    -2       9.4464090045E-005
#    -22    -1       7.9467672947E-005
#    -22     0       3.7069943297E-005
#    -22     1       1.4403138184E-004
#    -22     2       1.4655640739E-004
#    -22     3       1.3821402670E-004
